uid,first_name,last_name,common_name,gender,birth_date,birth_city,nationality_code3,height_cm,weight_kg,source,role_type,position_main,preferred_foot,current_ability,potential_ability,t_control,t_conduccion,t_pase,t_pase_un_toque,t_finalizacion,t_tiro_lejano,t_regate,t_poste,t_entrada,t_intercepcion,t_bloqueo,g_paradas,g_reflejos,g_uno_con_uno,g_juego_pies,g_distribucion,g_posicionamiento,g_salidas,g_jugador,m_vision,m_decision,m_anticipacion,m_concentracion,m_posicionamiento,m_agresividad,m_serenidad,m_liderazgo,m_equipo,m_trabajo,m_arrojo,p_aceleracion,p_velocidad,p_agilidad,p_equilibrio,p_coordinacion,p_resistencia,p_fuerza,p_salto,h_consistencia,h_lesiones,h_juego_duro,h_temperamento,staff_role,ent_tecnica,ent_ofensiva,ent_defensiva,ent_porteros,ent_fisica,ent_tactica,medicina,h_juicio_habilidad,h_juicio_potencial,motivacion,gestion_vestuario,negociacion,adaptabilidad,referee_country,strictness,big_match_rating
person-club-madrid-fs-011,Antonio,Martínez,Kike,M,1997-07-10,,ESP,182,79,import,player,ALD,D,126,134,13,14,11,14,15,11,10,10,11,12,9,1,1,1,1,1,1,1,1,9,15,11,14,13,12,15,12,14,9,12,10,13,15,9,11,14,11,12,11,15,9,13,,,,,,,,,,,,,,,,,
person-club-madrid-fs-012,Antonio,Flores,Falcão,M,1997-01-04,,ESP,174,69,import,player,ALI,D,119,135,13,10,14,8,11,8,14,8,9,11,12,1,1,1,1,1,1,1,1,14,14,8,11,14,14,8,8,14,10,8,9,8,9,9,9,12,12,11,8,12,13,15,,,,,,,,,,,,,,,,,
person-club-madrid-fs-coach,Fernando,Hernández,,M,1980-01-15,,ESP,178,75,import,staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entrenador,14,10,18,10,15,10,15,17,14,17,12,15,12,,,
person-club-sevilla-fs-001,Javier,López,,M,1999-02-23,,ESP,198,69,import,player,POR,AM,105,106,4,5,7,5,3,3,8,5,4,5,5,8,9,12,12,8,10,9,12,8,12,5,5,7,5,8,8,12,12,7,10,9,11,5,5,6,8,8,13,10,14,14,,,,,,,,,,,,,,,,,
person-club-sevilla-fs-002,Marcos,García,,M,1998-03-17,,ESP,195,77,import,player,POR,D,112,117,7,8,4,5,5,5,7,6,3,6,8,14,14,10,9,13,12,13,15,9,7,9,6,10,12,8,5,9,12,11,8,9,5,8,5,5,12,11,15,15,15,13,,,,,,,,,,,,,,,,,
person-club-sevilla-fs-003,Jesús,Rodríguez,,M,2002-12-19,,ESP,194,81,import,player,UNI,D,107,121,12,7,12,10,10,7,10,7,11,8,7,1,1,1,1,1,1,1,1,9,11,9,7,7,12,12,12,13,10,11,12,13,8,10,9,8,12,7,8,11,14,8,,,,,,,,,,,,,,,,,
person-club-sevilla-fs-004,Antonio,González,,M,1998-11-27,,ESP,184,67,import,player,PIV,D,130,139,15,15,14,15,11,16,11,15,13,10,12,1,1,1,1,1,1,1,1,16,12,10,14,11,11,14,11,15,14,14,14,10,14,12,12,15,13,14,13,9,14,9,,,,,,,,,,,,,,,,,
person-club-sevilla-fs-005,Carlos,Díaz,Falcão,M,2005-07-14,,ESP,187,74,import,player,PIV,AM,118,133,9,9,10,12,10,10,10,10,9,8,12,1,1,1,1,1,1,1,1,8,13,11,10,10,13,10,8,8,9,10,8,12,9,13,14,11,12,8,9,11,10,10,,,,,,,,,,,,,,,,,
person-club-sevilla-fs-006,Javier,Sánchez,,M,1996-10-15,,ESP,183,84,import,player,CIE,D,120,125,15,13,14,13,13,9,13,11,14,15,9,1,1,1,1,1,1,1,1,13,11,12,11,14,13,9,15,10,14,12,11,14,10,14,15,10,13,12,14,12,14,9,,,,,,,,,,,,,,,,,
person-club-sevilla-fs-007,Javier,Pérez,Jesús,M,2003-08-07,,ESP,184,76,import,player,UNI,I,110,132,8,10,12,8,11,12,13,9,11,10,8,1,1,1,1,1,1,1,1,11,14,9,10,13,10,8,11,13,9,12,8,8,12,12,13,10,14,14,9,9,12,9,,,,,,,,,,,,,,,,,
person-club-sevilla-fs-008,Jesús,Hernández,,M,1990-11-11,,ESP,171,78,import,player,UNI,I,125,125,12,14,12,9,11,9,15,14,11,11,11,1,1,1,1,1,1,1,1,12,12,14,15,12,11,12,10,15,15,14,11,12,14,15,14,13,14,11,9,8,11,8,,,,,,,,,,,,,,,,,
person-club-sevilla-fs-009,Iván,Torres,Falcão,M,2003-10-14,,ESP,182,76,import,player,CIE,AM,129,154,12,9,12,13,14,15,14,13,14,12,15,1,1,1,1,1,1,1,1,11,11,11,11,15,15,10,11,9,11,13,15,13,12,15,9,13,9,9,14,8,9,15,,,,,,,,,,,,,,,,,
person-club-sevilla-fs-010,Pablo,Pérez,Raúl,M,1998-06-13,,ESP,192,77,import,player,CIE,D,120,126,13,15,15,14,10,10,12,13,15,9,15,1,1,1,1,1,1,1,1,10,15,14,9,12,14,13,15,9,12,10,13,14,10,14,10,11,14,10,11,14,14,13,,,,,,,,,,,,,,,,,
person-club-sevilla-fs-011,David,Torres,,M,2000-04-08,,ESP,185,71,import,player,ALD,I,124,130,12,11,13,15,13,14,15,12,14,11,10,1,1,1,1,1,1,1,1,9,13,11,15,10,15,13,13,9,11,10,10,11,11,12,15,9,11,10,15,8,11,12,,,,,,,,,,,,,,,,,
person-club-sevilla-fs-012,Pablo,Ramírez,,M,2003-05-27,,ESP,172,76,import,player,ALI,D,125,148,13,10,15,12,11,13,15,10,11,11,9,1,1,1,1,1,1,1,1,10,13,10,14,15,9,13,12,10,13,9,9,10,12,9,9,15,10,15,9,9,14,9,,,,,,,,,,,,,,,,,
person-club-sevilla-fs-coach,Iván,Gómez,,M,1973-01-15,,ESP,178,75,import,staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entrenador,18,16,12,8,12,11,15,16,14,11,13,16,8,,,
person-club-zaragoza-fs-001,Fernando,Hernández,,M,1999-02-21,,ESP,180,72,import,player,POR,I,102,113,3,8,5,4,8,6,5,4,3,7,3,13,9,8,11,13,9,11,14,12,10,6,6,10,11,9,8,11,7,10,8,12,8,11,5,7,11,11,13,15,13,8,,,,,,,,,,,,,,,,,
person-club-zaragoza-fs-002,Miguel,Torres,,M,1993-11-22,,ESP,200,71,import,player,POR,D,117,127,5,7,7,7,6,5,5,3,6,3,5,10,10,11,11,9,10,15,11,10,12,6,10,8,12,9,6,5,6,12,9,10,6,12,12,5,7,9,9,11,10,14,,,,,,,,,,,,,,,,,
person-club-zaragoza-fs-003,Carlos,Morales,Kike,M,1992-09-22,,ESP,184,77,import,player,CIE,D,97,107,7,6,8,11,6,6,8,12,10,9,10,1,1,1,1,1,1,1,1,6,7,8,7,11,10,11,12,9,7,6,9,7,11,10,6,6,6,7,14,9,12,15,,,,,,,,,,,,,,,,,
person-club-zaragoza-fs-004,Daniel,Rodríguez,Carlitos,M,2003-07-17,,ESP,187,65,import,player,PIV,AM,124,153,14,14,11,15,15,13,9,15,9,13,10,1,1,1,1,1,1,1,1,9,12,9,11,15,11,14,12,12,11,13,11,15,9,13,14,12,10,12,15,11,14,14,,,,,,,,,,,,,,,,,
person-club-zaragoza-fs-005,Sergio,Díaz,,M,1996-12-19,,ESP,179,81,import,player,ALI,I,101,122,11,8,10,13,8,13,8,10,10,8,10,1,1,1,1,1,1,1,1,10,13,8,12,10,11,11,11,11,8,11,12,8,8,7,13,13,7,9,15,15,8,10,,,,,,,,,,,,,,,,,
person-club-zaragoza-fs-006,Antonio,Hernández,Chino,M,1995-05-02,,ESP,189,70,import,player,CIE,D,112,112,11,13,14,10,8,13,8,10,14,10,10,1,1,1,1,1,1,1,1,12,8,14,9,10,8,9,11,10,12,9,9,11,9,9,11,10,14,10,14,11,8,14,,,,,,,,,,,,,,,,,
person-club-zaragoza-fs-007,Javier,Reyes,Kike,M,2005-01-08,,ESP,185,80,import,player,ALI,D,101,108,7,7,13,8,12,8,13,11,9,10,9,1,1,1,1,1,1,1,1,7,12,8,11,10,11,10,13,11,9,11,7,8,7,8,8,9,11,7,8,15,12,8,,,,,,,,,,,,,,,,,
person-club-zaragoza-fs-008,Javier,Reyes,Falcão,M,1991-01-22,,ESP,194,84,import,player,ALD,D,107,137,7,9,10,9,12,11,8,12,10,13,12,1,1,1,1,1,1,1,1,8,10,13,10,7,8,10,9,11,11,12,8,10,11,11,12,10,8,11,10,9,9,8,,,,,,,,,,,,,,,,,
person-club-zaragoza-fs-009,Alejandro,González,,M,1995-03-27,,ESP,182,69,import,player,ALI,AM,95,99,8,7,10,6,11,8,9,8,9,7,6,1,1,1,1,1,1,1,1,6,11,7,11,11,10,12,10,9,6,9,10,9,12,9,7,6,7,9,14,14,10,14,,,,,,,,,,,,,,,,,
person-club-zaragoza-fs-010,Miguel,Díaz,,M,2000-10-18,,ESP,171,85,import,player,ALI,D,113,139,14,8,11,12,12,8,14,12,13,14,11,1,1,1,1,1,1,1,1,8,9,10,9,11,8,8,10,9,13,14,14,9,14,11,8,12,14,10,14,13,12,14,,,,,,,,,,,,,,,,,
person-club-zaragoza-fs-011,Daniel,Díaz,,M,2004-08-03,,ESP,178,66,import,player,ALD,AM,97,113,12,9,11,6,10,9,10,11,8,12,7,1,1,1,1,1,1,1,1,7,10,6,6,7,11,8,6,11,9,8,11,6,12,9,7,9,8,6,14,12,9,8,,,,,,,,,,,,,,,,,
person-club-zaragoza-fs-012,Alejandro,Torres,Carlitos,M,2002-05-16,,ESP,194,71,import,player,ALD,AM,111,134,12,13,12,13,12,9,9,10,11,13,13,1,1,1,1,1,1,1,1,9,9,10,8,10,10,8,11,8,12,12,11,11,8,13,13,14,12,8,9,9,13,12,,,,,,,,,,,,,,,,,
person-club-zaragoza-fs-coach,Raúl,Gómez,,M,1985-01-15,,ESP,178,75,import,staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entrenador,12,11,13,15,17,10,14,10,15,13,18,17,11,,,
person-club-valencia-fs-001,Jesús,López,,M,1991-04-03,,ESP,196,83,import,player,POR,I,92,105,5,6,5,6,6,5,7,7,5,7,8,13,8,8,12,11,12,10,10,8,11,5,7,5,11,11,8,6,8,8,9,8,7,12,9,6,9,6,11,9,13,9,,,,,,,,,,,,,,,,,
person-club-valencia-fs-002,Carlos,Sánchez,Kike,M,1998-07-16,,ESP,192,72,import,player,POR,I,105,127,6,4,5,5,7,8,8,6,5,8,3,11,12,9,12,12,8,11,8,7,10,9,9,9,12,7,9,8,10,12,12,5,6,11,7,7,11,5,11,12,9,8,,,,,,,,,,,,,,,,,
person-club-valencia-fs-003,Fernando,Gómez,,M,1997-11-15,,ESP,172,75,import,player,UNI,D,109,129,12,7,12,12,10,9,9,11,13,10,13,1,1,1,1,1,1,1,1,7,9,13,13,9,12,13,7,10,8,11,12,13,12,9,11,10,13,12,10,14,12,8,,,,,,,,,,,,,,,,,
person-club-valencia-fs-004,Rubén,Torres,Falcão,M,1998-03-13,,ESP,188,78,import,player,CIE,D,97,113,12,6,7,6,10,6,12,12,7,8,11,1,1,1,1,1,1,1,1,12,7,11,11,10,7,6,6,9,7,11,11,11,12,8,12,8,10,8,10,9,9,9,,,,,,,,,,,,,,,,,
person-club-valencia-fs-005,Pablo,Gómez,,M,1998-03-26,,ESP,193,79,import,player,PIV,D,105,128,9,8,9,13,7,9,11,7,13,7,8,1,1,1,1,1,1,1,1,10,7,8,7,11,8,12,7,11,12,7,7,9,13,9,9,8,13,7,15,14,8,14,,,,,,,,,,,,,,,,,
person-club-valencia-fs-006,Alejandro,Pérez,,M,1999-02-05,,ESP,187,69,import,player,UNI,D,115,142,12,11,13,14,14,9,14,8,9,10,8,1,1,1,1,1,1,1,1,8,8,12,8,10,9,14,8,11,10,9,9,9,13,11,10,8,8,12,15,11,8,12,,,,,,,,,,,,,,,,,
person-club-valencia-fs-007,Javier,Rodríguez,,M,2004-01-17,,ESP,186,81,import,player,PIV,AM,114,130,12,13,14,9,14,9,12,13,14,10,9,1,1,1,1,1,1,1,1,11,9,10,14,13,14,12,11,12,8,11,14,9,13,8,13,10,11,10,13,13,11,8,,,,,,,,,,,,,,,,,
person-club-valencia-fs-008,Marcos,Flores,,M,2003-05-19,,ESP,180,76,import,player,UNI,D,107,112,13,11,13,7,7,13,8,8,12,8,13,1,1,1,1,1,1,1,1,11,9,13,9,9,8,11,11,11,7,7,10,9,11,7,13,12,12,11,14,11,13,14,,,,,,,,,,,,,,,,,
person-club-valencia-fs-009,Jesús,López,,M,1996-04-08,,ESP,186,79,import,player,CIE,I,94,106,9,11,7,9,6,6,11,12,12,11,7,1,1,1,1,1,1,1,1,10,9,6,12,8,9,6,9,8,12,10,10,7,12,11,8,11,7,11,14,14,13,8,,,,,,,,,,,,,,,,,
person-club-valencia-fs-010,Miguel,Torres,,M,2001-10-24,,ESP,180,85,import,player,PIV,AM,96,113,12,7,12,6,11,7,7,7,10,12,6,1,1,1,1,1,1,1,1,12,10,8,11,12,11,7,12,8,12,8,8,11,11,8,9,11,10,6,14,10,10,9,,,,,,,,,,,,,,,,,
person-club-valencia-fs-011,Miguel,Reyes,,M,2001-05-16,,ESP,189,67,import,player,UNI,I,93,123,9,7,12,11,6,10,9,10,11,10,11,1,1,1,1,1,1,1,1,6,7,9,11,8,10,9,6,11,10,9,9,10,12,9,8,8,10,10,14,13,13,9,,,,,,,,,,,,,,,,,
person-club-valencia-fs-012,Iván,Rodríguez,Jesús,M,2000-05-06,,ESP,177,83,import,player,PIV,AM,97,121,8,12,8,11,6,10,7,6,12,11,8,1,1,1,1,1,1,1,1,12,9,7,7,6,7,11,7,9,12,11,9,10,10,8,12,6,12,7,10,10,8,12,,,,,,,,,,,,,,,,,
person-club-valencia-fs-coach,Rubén,Pérez,,M,1975-01-15,,ESP,178,75,import,staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entrenador,17,16,18,10,11,17,11,13,10,15,18,15,12,,,
person-club-guadalajara-fs-001,Carlos,Hernández,Bebe,M,1995-09-02,,ESP,194,80,import,player,POR,D,90,102,3,7,5,3,7,8,4,7,7,4,3,8,7,12,13,7,8,11,12,5,8,8,12,12,6,10,9,8,5,9,11,5,6,6,6,12,12,7,9,13,13,14,,,,,,,,,,,,,,,,,
person-club-guadalajara-fs-002,Sergio,Díaz,Falcão,M,1998-04-16,,ESP,187,83,import,player,POR,AM,108,136,7,6,7,6,7,3,5,7,7,4,5,8,14,14,12,8,8,14,11,6,8,10,10,5,9,8,8,7,12,11,12,8,5,9,8,9,6,8,12,8,10,14,,,,,,,,,,,,,,,,,
person-club-guadalajara-fs-003,Miguel,Díaz,Bebe,M,1998-03-20,,ESP,193,79,import,player,CIE,D,100,115,7,13,12,13,9,11,13,13,12,8,13,1,1,1,1,1,1,1,1,13,10,10,7,12,11,9,9,13,11,11,8,10,9,10,8,12,9,11,10,12,11,9,,,,,,,,,,,,,,,,,
person-club-guadalajara-fs-004,Jesús,Rodríguez,,M,1994-11-07,,ESP,175,75,import,player,ALD,D,103,115,9,12,10,11,10,9,10,12,11,9,12,1,1,1,1,1,1,1,1,8,10,13,10,8,11,8,13,10,10,8,7,10,10,8,8,13,11,12,10,15,8,9,,,,,,,,,,,,,,,,,
person-club-guadalajara-fs-005,Daniel,Martínez,,M,2005-08-15,,ESP,171,82,import,player,CIE,D,96,104,12,7,12,6,7,6,7,6,10,6,10,1,1,1,1,1,1,1,1,6,7,7,6,10,6,12,6,11,6,8,10,6,12,12,6,12,9,12,14,8,12,10,,,,,,,,,,,,,,,,,
person-club-guadalajara-fs-006,Fernando,Ramírez,,M,2001-01-17,,ESP,171,79,import,player,ALI,D,86,86,7,11,11,7,8,8,5,5,5,8,8,1,1,1,1,1,1,1,1,10,5,6,11,6,9,9,7,9,8,11,11,5,9,8,7,9,5,5,13,13,11,13,,,,,,,,,,,,,,,,,
person-club-guadalajara-fs-007,Carlos,Pérez,Carlitos,M,1999-03-25,,ESP,184,70,import,player,ALD,I,90,92,8,8,9,9,12,10,12,11,9,6,12,1,1,1,1,1,1,1,1,11,6,7,8,12,12,11,12,8,9,10,11,7,9,8,7,11,11,11,15,11,10,8,,,,,,,,,,,,,,,,,
person-club-guadalajara-fs-008,Daniel,Díaz,,M,1997-11-04,,ESP,174,69,import,player,CIE,I,95,113,8,6,10,10,7,6,10,12,6,10,10,1,1,1,1,1,1,1,1,8,12,10,9,7,12,10,6,8,9,6,6,6,8,7,12,12,11,9,12,12,15,8,,,,,,,,,,,,,,,,,
person-club-guadalajara-fs-009,Miguel,Sánchez,,M,2002-05-28,,ESP,182,80,import,player,UNI,D,89,93,9,6,7,6,11,8,6,10,11,7,11,1,1,1,1,1,1,1,1,8,7,11,6,10,6,8,5,11,7,11,9,7,5,10,6,5,9,5,8,12,10,8,,,,,,,,,,,,,,,,,
person-club-guadalajara-fs-010,Raúl,Torres,Pola,M,1992-03-17,,ESP,173,77,import,player,ALD,AM,105,120,10,12,7,8,10,9,12,13,12,11,7,1,1,1,1,1,1,1,1,8,8,8,7,8,12,9,9,8,9,9,10,8,11,13,7,10,8,11,8,10,11,8,,,,,,,,,,,,,,,,,
person-club-guadalajara-fs-011,Iván,Ramírez,Pola,M,1992-10-01,,ESP,183,72,import,player,PIV,I,95,113,11,8,6,8,7,11,8,9,6,7,11,1,1,1,1,1,1,1,1,9,9,8,8,10,6,10,11,11,6,10,11,10,12,11,7,11,6,9,11,13,10,12,,,,,,,,,,,,,,,,,
person-club-guadalajara-fs-012,Sergio,Gómez,,M,1991-07-15,,ESP,171,81,import,player,CIE,I,88,92,11,10,6,8,10,7,10,9,7,6,9,1,1,1,1,1,1,1,1,8,8,7,8,9,7,9,10,5,6,5,6,6,8,10,10,6,9,9,8,13,14,11,,,,,,,,,,,,,,,,,
person-club-guadalajara-fs-coach,Marcos,Pérez,,M,1982-01-15,,ESP,178,75,import,staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entrenador,16,17,11,15,16,12,15,13,16,17,13,10,12,,,
person-club-cartagena-fs-001,Sergio,Rivera,Carlitos,M,1999-01-25,,ESP,199,75,import,player,POR,I,83,112,8,6,4,3,6,3,6,3,8,7,7,10,6,9,11,8,11,11,6,8,6,5,9,5,8,5,7,12,11,9,11,12,9,8,10,9,10,8,8,13,14,15,,,,,,,,,,,,,,,,,
person-club-cartagena-fs-002,David,Torres,,M,1999-02-08,,ESP,185,65,import,player,POR,AM,96,109,3,5,8,3,3,6,6,7,6,5,5,13,12,7,11,12,8,11,9,11,7,10,7,9,5,11,11,8,10,11,9,7,11,12,9,5,11,8,11,14,11,8,,,,,,,,,,,,,,,,,
person-club-cartagena-fs-003,Raúl,Pérez,,M,2004-10-26,,ESP,185,84,import,player,CIE,D,97,99,10,8,6,8,6,8,12,6,12,12,11,1,1,1,1,1,1,1,1,7,7,12,9,10,12,11,7,9,8,7,9,10,9,9,9,7,10,12,14,15,10,12,,,,,,,,,,,,,,,,,
person-club-cartagena-fs-004,Raúl,Hernández,Carlitos,M,1996-02-08,,ESP,189,84,import,player,ALI,I,86,114,8,5,6,11,5,7,7,11,8,10,7,1,1,1,1,1,1,1,1,11,8,10,9,8,5,5,11,10,9,8,7,10,7,8,5,9,11,5,10,15,12,9,,,,,,,,,,,,,,,,,
person-club-cartagena-fs-005,Rubén,Rivera,,M,2005-08-24,,ESP,179,76,import,player,UNI,AM,84,96,10,7,7,11,5,6,10,5,10,11,10,1,1,1,1,1,1,1,1,8,8,9,7,10,11,7,9,7,7,7,11,8,5,5,7,7,11,5,13,15,9,13,,,,,,,,,,,,,,,,,
person-club-cartagena-fs-006,Javier,García,Falcão,M,1996-05-27,,ESP,180,85,import,player,PIV,I,100,109,7,8,7,11,10,12,7,9,10,10,12,1,1,1,1,1,1,1,1,13,13,12,10,8,12,8,12,8,13,7,11,10,13,9,10,8,13,13,15,8,8,13,,,,,,,,,,,,,,,,,
person-club-cartagena-fs-007,Antonio,López,Kike,M,1995-03-06,,ESP,183,68,import,player,ALI,D,86,108,6,10,6,9,9,9,9,8,5,8,9,1,1,1,1,1,1,1,1,10,6,6,10,7,8,8,10,10,7,8,6,8,7,5,9,6,8,10,12,15,14,9,,,,,,,,,,,,,,,,,
person-club-cartagena-fs-008,Sergio,González,,M,1996-02-08,,ESP,189,67,import,player,ALI,I,97,121,6,12,7,12,10,10,11,8,11,10,9,1,1,1,1,1,1,1,1,10,7,10,12,9,6,7,12,10,12,12,12,7,10,7,7,7,8,7,10,11,11,14,,,,,,,,,,,,,,,,,
person-club-cartagena-fs-009,Raúl,Martínez,,M,1993-05-13,,ESP,187,65,import,player,UNI,D,104,131,13,11,11,12,7,7,12,10,11,8,13,1,1,1,1,1,1,1,1,13,9,10,9,10,7,11,9,7,8,10,11,7,11,10,7,7,9,10,11,10,9,11,,,,,,,,,,,,,,,,,
person-club-cartagena-fs-010,Raúl,Rodríguez,Raúl,M,2004-02-22,,ESP,192,84,import,player,ALI,D,100,119,11,10,11,9,12,9,13,13,10,13,10,1,1,1,1,1,1,1,1,8,11,13,12,7,7,11,11,12,13,8,12,13,10,10,7,9,9,9,15,9,14,10,,,,,,,,,,,,,,,,,
person-club-cartagena-fs-011,Miguel,Torres,Falcão,M,1999-10-22,,ESP,174,73,import,player,ALD,I,99,122,8,12,12,6,6,7,7,7,9,11,11,1,1,1,1,1,1,1,1,12,8,7,10,9,6,12,7,8,8,9,6,7,12,6,10,9,8,8,15,13,8,8,,,,,,,,,,,,,,,,,
person-club-cartagena-fs-012,Jesús,Díaz,,M,1999-01-26,,ESP,192,65,import,player,PIV,D,94,107,8,11,10,6,10,11,12,12,6,11,11,1,1,1,1,1,1,1,1,10,6,6,10,10,12,6,11,12,12,7,8,6,6,10,7,7,11,8,13,9,9,13,,,,,,,,,,,,,,,,,
person-club-cartagena-fs-coach,Pablo,Gómez,,M,1987-01-15,,ESP,178,75,import,staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,entrenador,13,16,11,14,10,10,15,15,17,12,17,13,15,,,
person-club-burela-fs-001,Carlos,García,,M,1991-06-15,,ESP,198,85,import,player,POR,I,78,102,6,4,7,3,6,5,5,4,7,7,6,7,9,6,10,5,7,8,7,8,7,12,12,6,11,5,6,7,10,8,7,8,10,9,6,11,7,11,8,11,15,12,,,,,,,,,,,,,,,,,
person-club-burela-fs-002,Fernando,Pérez,,M,2003-07-28,,ESP,180,65,import,player,POR,I,91,93,6,4,7,4,5,5,6,4,3,6,5,10,7,11,7,13,13,12,11,8,12,8,10,7,11,10,8,9,7,11,10,7,7,12,6,7,8,9,15,11,12,9,,,,,,,,,,,,,,,,,
person-club-burela-fs-003,Fernando,Sánchez,,M,1997-11-17,,ESP,175,73,import,player,UNI,I,76,79,8,4,8,6,7,9,10,10,9,5,10,1,1,1,1,1,1,1,1,4,5,5,7,9,7,6,10,4,10,8,8,8,5,5,5,8,4,7,9,11,15,13,,,,,,,,,,,,,,,,,
person-club-burela-fs-004,Carlos,Rodríguez,Bebe,M,1999-05-20,,ESP,174,66,import,player,ALI,I,77,97,6,6,8,6,5,6,6,8,10,7,10,1,1,1,1,1,1,1,1,4,5,8,6,9,6,10,6,4,7,10,6,4,7,5,9,7,6,6,15,12,9,14,,,,,,,,,,,,,,,,,
person-club-burela-fs-005,Carlos,Morales,Raúl,M,1992-05-16,,ESP,190,84,import,player,UNI,AM,84,96,7,6,10,11,9,10,11,11,7,11,9,1,1,1,1,1,1,1,1,11,11,8,10,6,9,9,7,11,7,10,5,7,7,11,6,8,7,8,14,10,12,10,,,,,,,,,,,,,,,,,
